,JOIN,doubleheader,temperature_fahrenheit,season_game_number,days_since_last_game,pitches_p,ba_p,iso_p,babip_p,slg_p,woba_p,xwoba_p,xba_p,hits_p,abs_p,launch_speed_p,launch_angle_p,spin_rate_p,velocity_p,effective_speed_p,whiffs_p,swings_p,takes_p,eff_min_vel_p,release_extension_p,pitcher_run_exp_p,run_exp_p,pitches_h,ba_h,iso_h,babip_h,slg_h,woba_h,xwoba_h,xba_h,hits_h,abs_h,launch_speed_h,launch_angle_h,spin_rate_h,velocity_h,effective_speed_h,whiffs_h,swings_h,takes_h,eff_min_vel_h,release_extension_h,pitcher_run_exp_h,run_exp_h,duration,score,opp_score,opp_ScoreLine,winLoss_numeric
611,45038MIADH2,2,49,21,0.0,137,0.219,0.031,0.269,0.25,0.272,0.355,0.322,7,32,86.6,3.8,2261,87.4,87.75,12,58,79,0.3999999999999915,6.44,1.3,-1.3,135,0.306,0.167,0.355,0.472,0.349,0.309,0.28,11,36,82.2,7.7,2105,87.1,87.66,15,73,62,0.6000000000000085,6.41,2.3,-2.3,156,3,2,100000100,1
612,45038CHCDH0,0,41,20,1.0,162,0.289,0.368,0.269,0.658,0.428,0.476,0.377,11,38,88.8,20.9,2215,88.1,88.54,14,68,94,0.4000000000000057,6.56,-4.3,4.3,159,0.156,0.125,0.211,0.281,0.266,0.29,0.189,5,32,90.7,21.8,2438,91.6,91.97,16,62,97,0.4000000000000057,6.57,1.6,-1.6,175,4,9,110101203,0
613,45038LADDH0,0,41,22,1.0,159,0.156,0.125,0.211,0.281,0.266,0.29,0.189,5,32,90.7,21.8,2438,91.6,91.97,16,62,97,0.4000000000000057,6.57,1.6,-1.6,162,0.289,0.368,0.269,0.658,0.428,0.476,0.377,11,38,88.8,20.9,2215,88.1,88.54,14,68,94,0.4000000000000057,6.56,-4.3,4.3,175,9,4,100100200,1
614,45038BOSDH0,0,62,22,1.0,128,0.29,0.194,0.308,0.484,0.351,0.29,0.252,9,31,87.3,15.1,2179,89.0,90.28,17,70,58,1.2999999999999972,7.16,-1.5,1.5,146,0.235,0.235,0.24,0.471,0.306,0.437,0.309,8,34,89.0,15.8,2193,86.6,86.56,11,66,80,0.0,6.45,-0.2,0.2,143,4,5,01202000x,0
615,45038MILDH0,0,62,21,1.0,146,0.235,0.235,0.24,0.471,0.306,0.437,0.309,8,34,89.0,15.8,2193,86.6,86.56,11,66,80,0.0,6.45,-0.2,0.2,128,0.29,0.194,0.308,0.484,0.351,0.29,0.252,9,31,87.3,15.1,2179,89.0,90.28,17,70,58,1.2999999999999972,7.16,-1.5,1.5,143,5,4,000022000,1
616,45038MINDH0,0,35,21,1.0,183,0.385,0.205,0.519,0.59,0.443,0.337,0.268,15,39,85.6,12.8,2131,87.7,88.72,22,100,83,1.0,6.93,-4.4,4.4,181,0.243,0.162,0.32,0.405,0.315,0.348,0.284,9,37,87.5,21.5,2179,88.1,88.55,18,83,98,0.5,6.52,0.8,-0.8,189,4,10,220100302,0
617,45038WSHDH0,0,35,20,1.0,181,0.243,0.162,0.32,0.405,0.315,0.348,0.284,9,37,87.5,21.5,2179,88.1,88.55,18,83,98,0.5,6.52,0.8,-0.8,183,0.385,0.205,0.519,0.59,0.443,0.337,0.268,15,39,85.6,12.8,2131,87.7,88.72,22,100,83,1.0,6.93,-4.4,4.4,189,10,4,001010200,1
618,45038NYYDH0,0,60,21,1.0,150,0.219,0.188,0.24,0.406,0.321,0.289,0.209,7,32,87.8,16.2,2427,91.9,91.48,8,62,88,-0.4,6.35,1.6,-1.6,111,0.226,0.161,0.24,0.387,0.285,0.354,0.278,7,31,89.6,13.1,2242,89.1,89.46,10,51,60,0.4000000000000057,6.8,-0.2,0.2,155,3,2,000000002,1
619,45038TORDH0,0,60,21,1.0,111,0.226,0.161,0.24,0.387,0.285,0.354,0.278,7,31,89.6,13.1,2242,89.1,89.46,10,51,60,0.4000000000000057,6.8,-0.2,0.2,150,0.219,0.188,0.24,0.406,0.321,0.289,0.209,7,32,87.8,16.2,2427,91.9,91.48,8,62,88,-0.4,6.35,1.6,-1.6,155,2,3,000000021,0
620,45038COLDH0,0,78,22,1.0,125,0.226,0.387,0.222,0.613,0.353,0.303,0.215,7,31,90.3,6.7,2325,87.3,87.49,16,57,68,0.2000000000000028,6.45,-0.4,0.4,142,0.257,0.057,0.36,0.314,0.265,0.291,0.263,9,35,90.3,7.9,2183,89.7,90.4,20,72,70,0.7000000000000028,6.87,3.1,-3.1,146,3,4,01200100x,0
